Store_Dept_Date,Weekly_Sales
1_32_2012-11-09,4066.82
1_33_2012-11-09,4303.63
1_34_2012-11-09,11197.3
1_35_2012-11-09,1658.09
1_36_2012-11-09,671
1_37_2012-11-09,3302.98
1_38_2012-11-09,90443.37
1_40_2012-11-09,58426.12
1_41_2012-11-09,792.5
1_42_2012-11-09,10220.35
1_44_2012-11-09,6357.29
1_46_2012-11-09,19041.07
1_48_2012-11-09,1361
1_49_2012-11-09,11526.57
1_52_2012-11-09,2530.51
1_55_2012-11-09,17699.32
1_56_2012-11-09,1742.34
1_58_2012-11-09,6800
1_59_2012-11-09,785.41
1_60_2012-11-09,1416.8
1_67_2012-11-09,6242.93
1_71_2012-11-09,2310.96
1_72_2012-11-09,42060.48
1_74_2012-11-09,10574.5
1_79_2012-11-09,47522.61
1_80_2012-11-09,19874.45
1_81_2012-11-09,32427.67
1_82_2012-11-09,20729.31
1_83_2012-11-09,7547.51
1_85_2012-11-09,3818.23
1_87_2012-11-09,51962.16
1_90_2012-11-09,97444.15
1_91_2012-11-09,71520.23
1_92_2012-11-09,106479.586
1_93_2012-11-09,84183.85
1_94_2012-11-09,58927.88
1_95_2012-11-09,106479.586
1_96_2012-11-09,38391.46
1_97_2012-11-09,41807.62
1_98_2012-11-09,13327.82
1_99_2012-11-09,10.06
1_1_2012-11-16,20911.25
1_2_2012-11-16,43997.78
1_3_2012-11-16,10104.36
1_4_2012-11-16,19963.37
1_5_2012-11-16,20787.3
1_6_2012-11-16,1734.44
1_7_2012-11-16,21358.48
1_8_2012-11-16,37797.31
1_9_2012-11-16,27192.39
1_10_2012-11-16,33834.22
1_11_2012-11-16,38807.31
1_12_2012-11-16,7634.97
1_13_2012-11-16,43746.89
1_14_2012-11-16,13845.63
1_16_2012-11-16,5212.09
1_17_2012-11-16,11068.7
1_18_2012-11-16,13215.89
1_19_2012-11-16,1726.72
1_20_2012-11-16,4206.91
1_21_2012-11-16,8013.36
1_22_2012-11-16,5937.62
1_23_2012-11-16,23106.93
1_24_2012-11-16,7322.07
1_25_2012-11-16,10417.72
1_26_2012-11-16,5878.78
1_27_2012-11-16,1707.85
1_28_2012-11-16,390.74
1_29_2012-11-16,4334.62
1_30_2012-11-16,2258.74
1_31_2012-11-16,1683.65
1_32_2012-11-16,4066.82
1_33_2012-11-16,4303.63
1_34_2012-11-16,9773.47
1_35_2012-11-16,1636.03
1_36_2012-11-16,3628.75
1_37_2012-11-16,3129.13
1_38_2012-11-16,86538.8
1_40_2012-11-16,58511.53
1_41_2012-11-16,792.5
1_42_2012-11-16,7887.03
1_44_2012-11-16,6644.37
1_46_2012-11-16,17593.42
1_48_2012-11-16,1744
1_49_2012-11-16,11526.57
1_52_2012-11-16,2157.44
1_54_2012-11-16,86.56
1_55_2012-11-16,25261.76
1_56_2012-11-16,792.42
1_58_2012-11-16,6800
1_59_2012-11-16,797.35
1_60_2012-11-16,797.8
1_67_2012-11-16,6242.93
1_71_2012-11-16,2892.04
1_72_2012-11-16,33177.8
1_74_2012-11-16,10574.5
1_79_2012-11-16,30928.23
1_80_2012-11-16,19874.45
1_81_2012-11-16,32427.67
1_82_2012-11-16,21963.11
1_83_2012-11-16,6204.97
1_85_2012-11-16,2760.09
1_87_2012-11-16,52872.73
1_90_2012-11-16,97444.15
1_91_2012-11-16,68373.27
1_92_2012-11-16,106479.586
1_93_2012-11-16,84183.85
1_94_2012-11-16,59519.38
1_95_2012-11-16,106479.586
1_96_2012-11-16,38391.46
1_97_2012-11-16,41807.62
1_98_2012-11-16,12744.28
1_1_2012-11-23,20911.25
1_2_2012-11-23,42354.72
1_3_2012-11-23,9419.96
1_4_2012-11-23,22294.05
1_5_2012-11-23,79340.15
1_6_2012-11-23,15659.82
1_7_2012-11-23,59299.07
1_8_2012-11-23,39255.35
1_9_2012-11-23,45445.25
1_10_2012-11-23,30877.51
1_11_2012-11-23,26925.54
1_12_2012-11-23,7816.44
1_13_2012-11-23,43746.89
1_14_2012-11-23,47983.72
1_16_2012-11-23,9610.9
1_17_2012-11-23,12994.45
1_18_2012-11-23,11106.36
1_19_2012-11-23,1768.9
1_20_2012-11-23,2557.72
1_21_2012-11-23,6843.13
1_22_2012-11-23,13464.67
1_23_2012-11-23,33328.17
1_24_2012-11-23,10847.14
1_25_2012-11-23,8702.47
1_26_2012-11-23,7738.63
1_27_2012-11-23,2099.1
1_28_2012-11-23,302.23
1_29_2012-11-23,7155.7
1_30_2012-11-23,2830.48
1_31_2012-11-23,1542.03
1_32_2012-11-23,8978.16
1_33_2012-11-23,10793.97
1_34_2012-11-23,14744.09
1_35_2012-11-23,2115.77
1_36_2012-11-23,2785.16
1_37_2012-11-23,2361.49
1_38_2012-11-23,63560.48
1_40_2012-11-23,59287.86
1_41_2012-11-23,1423.91
1_42_2012-11-23,7887.03
1_44_2012-11-23,9212.12
1_46_2012-11-23,19145.58
1_48_2012-11-23,3033
1_49_2012-11-23,7722.64
1_52_2012-11-23,3551.68
1_54_2012-11-23,28.92
1_55_2012-11-23,20011.49
1_56_2012-11-23,1009.09
1_58_2012-11-23,5295
1_59_2012-11-23,972.87
1_60_2012-11-23,999
1_67_2012-11-23,7319.25
1_71_2012-11-23,5751.48
1_72_2012-11-23,106479.586
1_74_2012-11-23,18261.68
1_79_2012-11-23,29874.35
1_80_2012-11-23,19254.51
1_81_2012-11-23,30588.78
1_82_2012-11-23,21972.8
1_83_2012-11-23,5941.8
1_85_2012-11-23,4451.85
1_87_2012-11-23,48475.66
1_90_2012-11-23,106479.586
1_91_2012-11-23,60429.67
1_92_2012-11-23,106479.586
1_93_2012-11-23,88617.19
1_94_2012-11-23,75560.87
1_95_2012-11-23,106479.586
1_96_2012-11-23,38391.46
1_97_2012-11-23,40710.09
1_98_2012-11-23,20732.04
1_99_2012-11-23,2860
1_1_2012-11-30,24531.27
1_2_2012-11-30,44081.33
1_3_2012-11-30,10104.36
1_4_2012-11-30,19963.37
1_5_2012-11-30,67301.64
1_6_2012-11-30,6164.03
1_7_2012-11-30,59299.07
1_8_2012-11-30,38668.75
1_9_2012-11-30,44042.93
1_10_2012-11-30,28490.93
1_11_2012-11-30,38807.31
1_12_2012-11-30,8311.17
1_13_2012-11-30,43746.89
1_14_2012-11-30,36328.24
1_16_2012-11-30,9610.9
1_17_2012-11-30,11068.7
1_18_2012-11-30,21286.58
1_19_2012-11-30,1726.72
1_20_2012-11-30,3171.4
1_21_2012-11-30,7561.57
1_22_2012-11-30,6287
1_23_2012-11-30,33328.17
1_24_2012-11-30,7947.87
1_25_2012-11-30,11997.22
1_26_2012-11-30,6272.48
1_27_2012-11-30,1707.85
1_28_2012-11-30,312.86
1_29_2012-11-30,4098.42
1_30_2012-11-30,2258.74
1_31_2012-11-30,1582.06
1_32_2012-11-30,6080.16
1_33_2012-11-30,5622.58
1_34_2012-11-30,16180.84
1_35_2012-11-30,2115.77
1_36_2012-11-30,2656.78
1_37_2012-11-30,2257.56
1_38_2012-11-30,63560.48
1_40_2012-11-30,59287.86
1_41_2012-11-30,1423.91
1_42_2012-11-30,7710.94
1_44_2012-11-30,9212.12
1_45_2012-11-30,11.97
1_46_2012-11-30,16291.79
1_48_2012-11-30,3341
1_49_2012-11-30,9590.05
1_52_2012-11-30,2943.19
1_54_2012-11-30,28.92
1_55_2012-11-30,29051.72
1_56_2012-11-30,1009.09
1_58_2012-11-30,6800
1_59_2012-11-30,972.87
1_60_2012-11-30,797.8
1_67_2012-11-30,6242.93
1_71_2012-11-30,5137.59
1_72_2012-11-30,41754.14
1_74_2012-11-30,18261.68
1_79_2012-11-30,29874.35
1_80_2012-11-30,19276.87
1_81_2012-11-30,30244.48
1_82_2012-11-30,21963.11
1_83_2012-11-30,5941.8
1_85_2012-11-30,5430.64
1_87_2012-11-30,44267.78
1_90_2012-11-30,80027.26
1_91_2012-11-30,60412.71
1_92_2012-11-30,106479.586
1_93_2012-11-30,88617.19
1_94_2012-11-30,75560.87
1_95_2012-11-30,106479.586
1_96_2012-11-30,38391.46
1_97_2012-11-30,41704.03
1_98_2012-11-30,20732.04
1_99_2012-11-30,5240
1_1_2012-12-07,73516.27
1_2_2012-12-07,46381.43
1_3_2012-12-07,12955.55
1_4_2012-12-07,19507.7
1_5_2012-12-07,36472.02
1_6_2012-12-07,4377.23
1_7_2012-12-07,106479.586
1_8_2012-12-07,89774.49
1_9_2012-12-07,50675.72
1_10_2012-12-07,39189.33
1_11_2012-12-07,38807.31
1_12_2012-12-07,10216.64
1_13_2012-12-07,43746.89
1_14_2012-12-07,39523.82
1_16_2012-12-07,10525.66
1_17_2012-12-07,10484.57
1_18_2012-12-07,68525.7
1_19_2012-12-07,2111.6
1_20_2012-12-07,2961.74
1_21_2012-12-07,10855.44
1_22_2012-12-07,7448
1_23_2012-12-07,33303.15
1_24_2012-12-07,11274.48
1_25_2012-12-07,11802.37
1_26_2012-12-07,8572.96
1_27_2012-12-07,4225.6
1_28_2012-12-07,855.23
1_29_2012-12-07,14065.97
1_30_2012-12-07,2258.74
1_31_2012-12-07,8858.68
1_32_2012-12-07,12392.32
1_33_2012-12-07,9505.36
1_34_2012-12-07,10172.39
1_35_2012-12-07,1658.09
1_36_2012-12-07,671
1_37_2012-12-07,2695.24
1_38_2012-12-07,80117.78
1_40_2012-12-07,63639.01
1_41_2012-12-07,1423.91
1_42_2012-12-07,6824.05
1_44_2012-12-07,6644.37
1_45_2012-12-07,43.88
1_46_2012-12-07,33643.26
1_48_2012-12-07,1361
1_49_2012-12-07,9398.12
1_52_2012-12-07,2750.3
1_54_2012-12-07,71.84
1_55_2012-12-07,20112.57
1_56_2012-12-07,2207.89
1_58_2012-12-07,6800
1_59_2012-12-07,1395.85
1_60_2012-12-07,1443.2
1_67_2012-12-07,6242.93
1_71_2012-12-07,2310.96
1_72_2012-12-07,60494.84
1_74_2012-12-07,10574.5
1_79_2012-12-07,39589.08
1_80_2012-12-07,22615.85
1_81_2012-12-07,36081.52
1_82_2012-12-07,63787.12
1_83_2012-12-07,7176.66
1_85_2012-12-07,3702.52
1_87_2012-12-07,56985.41
1_90_2012-12-07,97444.15
1_91_2012-12-07,71520.23
1_92_2012-12-07,106479.586
1_93_2012-12-07,83466.8
1_94_2012-12-07,65667.98
1_95_2012-12-07,106479.586
1_96_2012-12-07,38391.46
1_97_2012-12-07,41704.03
1_98_2012-12-07,14921.54
1_99_2012-12-07,920
1_1_2012-12-14,29046.88
1_2_2012-12-14,49303.28
1_3_2012-12-14,13667.88
1_4_2012-12-14,39154.41
1_5_2012-12-14,43479.7
1_6_2012-12-14,6686.52
1_7_2012-12-14,48038.46
1_8_2012-12-14,37149.3
1_9_2012-12-14,41040.84
1_10_2012-12-14,26285.27
1_11_2012-12-14,31435.36
1_12_2012-12-14,8111.01
1_13_2012-12-14,43746.89
1_14_2012-12-14,28642.28
1_16_2012-12-14,6595.19
1_17_2012-12-14,11072.26
1_18_2012-12-14,12070.15
1_19_2012-12-14,1754.82
1_20_2012-12-14,3231.4
1_21_2012-12-14,10135.43
1_22_2012-12-14,7448
1_23_2012-12-14,33303.15
1_24_2012-12-14,10646
1_25_2012-12-14,11802.37
1_26_2012-12-14,8523.29
1_27_2012-12-14,2059.29
1_28_2012-12-14,363.25
1_29_2012-12-14,12848.12
1_30_2012-12-14,2830.48
1_31_2012-12-14,1627.86
1_32_2012-12-14,13228.11
1_33_2012-12-14,9958.57
1_34_2012-12-14,14714.73
1_35_2012-12-14,1725.3
1_36_2012-12-14,2802
1_37_2012-12-14,2566.42
1_38_2012-12-14,82400.1
1_40_2012-12-14,59287.86
1_41_2012-12-14,1423.91
1_42_2012-12-14,6924.5
1_44_2012-12-14,6644.37
1_46_2012-12-14,31913.56
1_48_2012-12-14,3306
1_49_2012-12-14,8477.87
1_52_2012-12-14,2943.19
1_54_2012-12-14,64.88
1_55_2012-12-14,17699.32
1_56_2012-12-14,1708.9
1_58_2012-12-14,6800
1_59_2012-12-14,4400.06
1_60_2012-12-14,1372.8
1_67_2012-12-14,6242.93
1_71_2012-12-14,3096.8
1_72_2012-12-14,62424.9
1_74_2012-12-14,8337.77
1_79_2012-12-14,33905.44
1_80_2012-12-14,22615.85
1_81_2012-12-14,36081.52
1_82_2012-12-14,30132.4
1_83_2012-12-14,6158.12
1_85_2012-12-14,6994.4
1_87_2012-12-14,48475.66
1_90_2012-12-14,97444.15
1_91_2012-12-14,67677.85
1_92_2012-12-14,106479.586
1_93_2012-12-14,85789.38
1_94_2012-12-14,45989.26
1_95_2012-12-14,106479.586
1_96_2012-12-14,38391.46
1_97_2012-12-14,40710.09
1_98_2012-12-14,14921.54
1_99_2012-12-14,3975
1_1_2012-12-21,39796.8
1_2_2012-12-21,59889.32
1_3_2012-12-21,13180.05
1_4_2012-12-21,22294.05
1_5_2012-12-21,51918.11
1_6_2012-12-21,12078.11
1_7_2012-12-21,106479.586
1_8_2012-12-21,41062.58
1_9_2012-12-21,41040.84
1_10_2012-12-21,33405.1
1_11_2012-12-21,26925.54
1_12_2012-12-21,11380.28
1_13_2012-12-21,43746.89
1_14_2012-12-21,28845.68
1_16_2012-12-21,6237.73
1_17_2012-12-21,11072.26
1_18_2012-12-21,68958.54
1_19_2012-12-21,1904.53
1_20_2012-12-21,4729.02
1_21_2012-12-21,13551.98
1_22_2012-12-21,8076.75
1_23_2012-12-21,51911.82
1_24_2012-12-21,13318.9
1_25_2012-12-21,17880.04
1_26_2012-12-21,12517.98
1_27_2012-12-21,2773.33
1_28_2012-12-21,390.74
1_29_2012-12-21,14065.97
1_30_2012-12-21,2830.48
1_31_2012-12-21,9667.63
1_32_2012-12-21,43995.62
1_33_2012-12-21,13832.52
1_34_2012-12-21,10172.39
1_35_2012-12-21,3071
1_36_2012-12-21,3628.75
1_37_2012-12-21,3129.13
1_38_2012-12-21,74853.99
1_40_2012-12-21,63663.51
1_41_2012-12-21,4164.38
1_42_2012-12-21,7123.1
1_44_2012-12-21,6644.37
1_46_2012-12-21,33643.26
1_47_2012-12-21,224
1_48_2012-12-21,2668
1_49_2012-12-21,9082.15
1_52_2012-12-21,2943.19
1_54_2012-12-21,28.92
1_55_2012-12-21,15807.45
1_56_2012-12-21,911.41
1_58_2012-12-21,6800
1_59_2012-12-21,6483.26
1_60_2012-12-21,1293.6
1_67_2012-12-21,6242.93
1_71_2012-12-21,4172.08
1_72_2012-12-21,61796.2
1_74_2012-12-21,13424.32
1_79_2012-12-21,33497.1
1_80_2012-12-21,18570.59
1_81_2012-12-21,30944.5
1_82_2012-12-21,63787.12
1_83_2012-12-21,4504.03
1_85_2012-12-21,3545.8
1_87_2012-12-21,48475.66
1_90_2012-12-21,106479.586
1_91_2012-12-21,67740.71
1_92_2012-12-21,106479.586
1_93_2012-12-21,85789.38
1_94_2012-12-21,52564.16
1_95_2012-12-21,106479.586
1_96_2012-12-21,62400.69
1_97_2012-12-21,42791.63
1_98_2012-12-21,14921.54
1_99_2012-12-21,700
1_1_2012-12-28,22068.26
1_2_2012-12-28,43539.94
1_3_2012-12-28,8560.38
1_4_2012-12-28,37371.22
1_5_2012-12-28,56384.3
1_6_2012-12-28,10910.86
1_7_2012-12-28,38216.01
1_8_2012-12-28,32419.78
1_9_2012-12-28,27192.39
1_10_2012-12-28,33834.22
1_11_2012-12-28,22429.17
1_12_2012-12-28,7699
1_13_2012-12-28,43746.89
1_14_2012-12-28,26349.77
1_16_2012-12-28,4919.99
1_17_2012-12-28,9774
1_18_2012-12-28,30596.38
1_19_2012-12-28,6753.58
1_20_2012-12-28,5569.54
1_21_2012-12-28,6349.45
1_22_2012-12-28,14893.61
1_23_2012-12-28,32348.78
1_24_2012-12-28,5483.91
1_25_2012-12-28,9327.8
1_26_2012-12-28,14182.51
1_27_2012-12-28,2863.79
1_28_2012-12-28,390.74
1_29_2012-12-28,6951.19
1_30_2012-12-28,2830.48
1_31_2012-12-28,2247.9
1_32_2012-12-28,10006.98
1_33_2012-12-28,3568
1_34_2012-12-28,11197.3
1_35_2012-12-28,1463
1_36_2012-12-28,5602.65
1_37_2012-12-28,3129.13
1_38_2012-12-28,70457.7
1_40_2012-12-28,63663.51
1_41_2012-12-28,4164.38
1_42_2012-12-28,7123.1
1_44_2012-12-28,3802.42
1_46_2012-12-28,26431.67
1_48_2012-12-28,6445
1_49_2012-12-28,12877.44
1_52_2012-12-28,3551.68
1_54_2012-12-28,155.68
1_55_2012-12-28,19915.81
1_56_2012-12-28,283.82
1_58_2012-12-28,5295
1_59_2012-12-28,9460.79
1_60_2012-12-28,589.6
1_67_2012-12-28,7319.25
1_71_2012-12-28,7561.4
1_72_2012-12-28,94243.47
1_74_2012-12-28,11684.59
1_79_2012-12-28,27676.43
1_80_2012-12-28,18050.22
1_81_2012-12-28,30944.5
1_82_2012-12-28,58789.91
1_83_2012-12-28,5941.8
1_85_2012-12-28,3545.8
1_87_2012-12-28,52872.73
1_90_2012-12-28,84392.18
1_91_2012-12-28,48263.59
1_92_2012-12-28,106479.586
1_93_2012-12-28,56721.18
1_94_2012-12-28,48990.5
1_95_2012-12-28,93676.95
1_96_2012-12-28,62400.69
1_97_2012-12-28,42791.63
1_98_2012-12-28,14921.54
1_99_2012-12-28,700
1_1_2013-01-04,16894.4
1_2_2013-01-04,44481.38
1_3_2013-01-04,10558.14
1_4_2013-01-04,35870.49
1_5_2013-01-04,31280.62
1_6_2013-01-04,2776.97
1_7_2013-01-04,11025.4
1_8_2013-01-04,29103.56
1_9_2013-01-04,5934.74
1_10_2013-01-04,14717.81
1_11_2013-01-04,15350.01
1_12_2013-01-04,8111.01
1_13_2013-01-04,43746.89
1_14_2013-01-04,9477
1_16_2013-01-04,4594.95
1_17_2013-01-04,9454.17
1_18_2013-01-04,4525.05
1_19_2013-01-04,715.99
1_20_2013-01-04,4654.72
1_21_2013-01-04,7206.04
1_22_2013-01-04,6566.49
1_23_2013-01-04,13690.78
1_24_2013-01-04,2918.72
1_25_2013-01-04,3764.25
1_26_2013-01-04,4519.21
1_27_2013-01-04,869.96
1_28_2013-01-04,322.12
1_29_2013-01-04,1970.34
1_30_2013-01-04,1837.48
1_31_2013-01-04,1396.62
1_32_2013-01-04,23676.04
1_33_2013-01-04,4076.5
1_34_2013-01-04,8186.25
1_35_2013-01-04,1332.52
1_36_2013-01-04,2308
1_37_2013-01-04,2279.17
1_38_2013-01-04,91450.24
1_40_2013-01-04,66944.08
1_41_2013-01-04,282
1_42_2013-01-04,7163.58
1_44_2013-01-04,4552.77
1_46_2013-01-04,14084.64
1_48_2013-01-04,988
1_49_2013-01-04,2457.69
1_52_2013-01-04,1466
1_54_2013-01-04,165.8
1_55_2013-01-04,10418.11
1_56_2013-01-04,1347.74
1_58_2013-01-04,3250
1_59_2013-01-04,461.3
1_60_2013-01-04,1188
1_67_2013-01-04,2880.65
1_71_2013-01-04,3264.79
1_72_2013-01-04,39235.39
1_74_2013-01-04,10969.83
1_79_2013-01-04,42065.78
1_80_2013-01-04,22615.85
1_81_2013-01-04,36081.52
1_82_2013-01-04,17532.05
1_83_2013-01-04,6581.56
1_85_2013-01-04,3818.23
1_87_2013-01-04,66331.45
1_90_2013-01-04,88941.55
1_91_2013-01-04,70369.87
1_92_2013-01-04,106479.586
1_93_2013-01-04,75276.2
1_94_2013-01-04,60453.29
1_95_2013-01-04,106479.586
1_96_2013-01-04,36033.46
1_97_2013-01-04,40785.39
1_98_2013-01-04,11197.76
1_1_2013-01-11,16894.4
1_2_2013-01-11,44481.38
1_3_2013-01-11,10558.14
1_4_2013-01-11,36586.52
1_5_2013-01-11,18458.33
1_6_2013-01-11,2776.97
1_7_2013-01-11,9194.61
1_8_2013-01-11,28327.99
1_9_2013-01-11,9786.84
1_10_2013-01-11,15437.61
1_11_2013-01-11,16965.49
1_12_2013-01-11,7699
1_13_2013-01-11,38015.36
1_14_2013-01-11,14585.64
1_16_2013-01-11,1612.24
1_17_2013-01-11,9454.17
1_18_2013-01-11,2327.51
1_19_2013-01-11,807.22
1_20_2013-01-11,3317.63
1_21_2013-01-11,7100.54
1_22_2013-01-11,6812.85
1_23_2013-01-11,15395.96
1_24_2013-01-11,2918.72
1_25_2013-01-11,3870.01
1_26_2013-01-11,4393.86
1_27_2013-01-11,869.96
1_28_2013-01-11,225.9
1_29_2013-01-11,2179.34
1_30_2013-01-11,1842.2
1_31_2013-01-11,1396.62
1_32_2013-01-11,4809.14
1_33_2013-01-11,2930.02
1_34_2013-01-11,8198.59
1_35_2013-01-11,1380.54
1_36_2013-01-11,319.58
1_37_2013-01-11,2963.19
1_38_2013-01-11,74827.84
1_40_2013-01-11,60905.45
1_41_2013-01-11,282
1_42_2013-01-11,8882.33
1_44_2013-01-11,4115.74
1_46_2013-01-11,16573.48
1_48_2013-01-11,434
1_49_2013-01-11,2748.75
1_52_2013-01-11,1466
1_55_2013-01-11,10418.11
1_56_2013-01-11,1347.74
1_58_2013-01-11,2500
1_59_2013-01-11,183.24
1_60_2013-01-11,1413.6
1_67_2013-01-11,3364.06
1_71_2013-01-11,3264.79
1_72_2013-01-11,37248.54
1_74_2013-01-11,10969.83
1_79_2013-01-11,35519.37
1_80_2013-01-11,19943.94
1_81_2013-01-11,31533.84
1_82_2013-01-11,17532.05
1_83_2013-01-11,6213.61
1_85_2013-01-11,3818.23
1_87_2013-01-11,52151.9
1_90_2013-01-11,89709.09
1_91_2013-01-11,67677.85
1_92_2013-01-11,106479.586
1_93_2013-01-11,84659.27
1_94_2013-01-11,61039.78
1_95_2013-01-11,106479.586
1_96_2013-01-11,36033.46
1_97_2013-01-11,40785.39
1_98_2013-01-11,11847.91
1_1_2013-01-18,18378.16
1_2_2013-01-18,41596.99
1_3_2013-01-18,13913.52
1_4_2013-01-18,36586.52
1_5_2013-01-18,18458.33
1_6_2013-01-18,3496.53
1_7_2013-01-18,9845.67
1_8_2013-01-18,27818.83
1_9_2013-01-18,5934.74
1_10_2013-01-18,14717.81
1_11_2013-01-18,15350.01
1_12_2013-01-18,7784.82
1_13_2013-01-18,38015.36
1_14_2013-01-18,11619.22
1_16_2013-01-18,4594.95
1_17_2013-01-18,7658.87
1_18_2013-01-18,1358.72
1_19_2013-01-18,807.22
1_20_2013-01-18,3364.8
1_21_2013-01-18,8478.51
1_22_2013-01-18,6812.85
1_23_2013-01-18,13690.78
1_24_2013-01-18,2918.72
1_25_2013-01-18,3764.25
1_26_2013-01-18,4492.42
1_27_2013-01-18,945.85
1_28_2013-01-18,244.31
1_29_2013-01-18,1970.34
1_30_2013-01-18,1837.48
1_31_2013-01-18,1396.62
1_32_2013-01-18,4671.03
1_33_2013-01-18,4076.5
1_34_2013-01-18,8022.64
1_35_2013-01-18,1376.93
1_36_2013-01-18,426.5
1_37_2013-01-18,2572.41
1_38_2013-01-18,65817.46
1_40_2013-01-18,57819.87
1_41_2013-01-18,282
1_42_2013-01-18,7073.77
1_44_2013-01-18,4587.65
1_45_2013-01-18,11.47
1_46_2013-01-18,15422.84
1_48_2013-01-18,456
1_49_2013-01-18,2819.25
1_52_2013-01-18,1466
1_54_2013-01-18,10
1_55_2013-01-18,10418.11
1_56_2013-01-18,1438.75
1_58_2013-01-18,2730
1_59_2013-01-18,183.24
1_60_2013-01-18,941.6
1_67_2013-01-18,2880.65
1_71_2013-01-18,4250.04
1_72_2013-01-18,37248.54
1_74_2013-01-18,10969.83
1_79_2013-01-18,31338.33
1_80_2013-01-18,19421.03
1_81_2013-01-18,36081.52
1_82_2013-01-18,16655.06
1_83_2013-01-18,6511.65
1_85_2013-01-18,3818.23
1_87_2013-01-18,52151.9
1_90_2013-01-18,88474.51
1_91_2013-01-18,64022.49
1_92_2013-01-18,106479.586
1_93_2013-01-18,85257.31
1_94_2013-01-18,65667.98
1_95_2013-01-18,106479.586
1_96_2013-01-18,36851.92
1_97_2013-01-18,32830.52
1_98_2013-01-18,10329.78
1_1_2013-01-25,18378.16
1_2_2013-01-25,41596.99
1_3_2013-01-25,11184.98
1_4_2013-01-25,36586.52
1_5_2013-01-25,17170.39
1_6_2013-01-25,3496.53
1_7_2013-01-25,11228.15
1_8_2013-01-25,29318.37
1_9_2013-01-25,8239.46
1_10_2013-01-25,16782.66
1_11_2013-01-25,16503.53
1_12_2013-01-25,8229.77
1_13_2013-01-25,38015.36
1_14_2013-01-25,12684.05
1_16_2013-01-25,1619.33
1_17_2013-01-25,7658.87
1_18_2013-01-25,1362.49
1_19_2013-01-25,807.22
1_20_2013-01-25,3364.8
1_21_2013-01-25,7274.81
1_22_2013-01-25,6190.08
1_23_2013-01-25,13690.78
